method,ate_estimate,ate_se,tau_p10,tau_p50,tau_p90
S-learner,0.23664603858208236,0.01168476200246865,-0.04645347375797115,0.1686202363391267,0.657272286602281
T-learner,0.2861254353101343,0.05304275866855306,-1.1760951637162822,0.14320339858990527,1.9730381017317484
X-learner,0.28729600695388197,0.04462340820293651,-0.9177884404621314,0.18093829085642676,1.861269768455055
DR-learner,0.2811011809250731,0.051644074120754634,-1.0133069486147006,0.13907642653147573,2.045933439736586
Causal Forest,0.27321233122410543,0.009270391674829886,-0.04222927636008897,0.2541075507199704,0.6126461813775208
