method,scale,estimate,lo,hi
Naive Cox,HR,0.6887966030282809,0.5457296589725162,0.8693695725399317
IPW Cox,HR,0.7298534761081464,0.5769226949826545,0.9233231786854222
AIPW (RMST 5y),ΔRMST (yrs),0.28071464770139276,0.08576099560331488,0.4756682997994707
DML (RMST 5y),ΔRMST (yrs),0.17873296216466378,-0.06201276262950384,0.41947868695883134
Bad-control Cox (conditioning on M),HR,1.1027894077949274,0.8721783509295288,1.3943759056259237
Regression-adjusted Cox,HR,0.686725378045643,0.5423852854103673,0.8694773946441526
